holeid,x,y,z,MD,TVD,GM
Unkown-2,691636.55,5072723.06,-84.02,220.0,220.0,Bilogora
Unkown-2,691636.55,5072723.06,-89.02,225.0,225.0,Bilogora
Unkown-2,691636.55,5072723.06,-94.02,230.0,230.0,Bilogora
Unkown-2,691636.55,5072723.06,-99.02,235.0,235.0,Bilogora
Unkown-2,691636.55,5072723.06,-104.02,240.0,240.0,Bilogora
Unkown-2,691636.55,5072723.06,-109.02,245.0,245.0,Bilogora
Unkown-2,691636.55,5072723.06,-114.02,250.0,250.0,Bilogora
Unkown-2,691636.55,5072723.06,-119.02,255.0,255.0,Bilogora
Unkown-2,691636.55,5072723.06,-124.02,260.0,260.0,Bilogora
Unkown-2,691636.55,5072723.06,-129.02,265.0,265.0,Bilogora
Unkown-2,691636.55,5072723.06,-134.02,270.0,270.0,Bilogora
Unkown-2,691636.55,5072723.06,-139.02,275.0,275.0,Bilogora
Unkown-2,691636.55,5072723.06,-144.02,280.0,280.0,Bilogora
Unkown-2,691636.55,5072723.06,-149.02,285.0,285.0,Bilogora
Unkown-2,691636.55,5072723.06,-154.02,290.0,290.0,Bilogora
Unkown-2,691636.55,5072723.06,-159.02,295.0,295.0,Bilogora
Unkown-2,691636.55,5072723.06,-164.02,300.0,300.0,Bilogora
Unkown-2,691636.55,5072723.06,-169.02,305.0,305.0,Bilogora
Unkown-2,691636.55,5072723.06,-174.02,310.0,310.0,Bilogora
Unkown-2,691636.55,5072723.06,-179.02,315.0,315.0,Bilogora
Unkown-2,691636.55,5072723.06,-184.02,320.0,320.0,Bilogora
Unkown-2,691636.55,5072723.06,-189.02,325.0,325.0,Bilogora
Unkown-2,691636.55,5072723.06,-194.02,330.0,330.0,Bilogora
Unkown-2,691636.55,5072723.06,-199.02,335.0,335.0,Bilogora
Unkown-2,691636.55,5072723.06,-204.02,340.0,340.0,Bilogora
Unkown-2,691636.55,5072723.06,-209.02,345.0,345.0,Bilogora
Unkown-2,691636.55,5072723.06,-214.02,350.0,350.0,Bilogora
Unkown-2,691636.55,5072723.06,-219.02,355.0,355.0,Bilogora
Unkown-2,691636.55,5072723.06,-224.02,360.0,360.0,Bilogora
Unkown-2,691636.55,5072723.06,-229.02,365.0,365.0,Bilogora
Unkown-2,691636.55,5072723.06,-234.02,370.0,370.0,Bilogora
Unkown-2,691636.55,5072723.06,-239.02,375.0,375.0,Bilogora
Unkown-2,691636.55,5072723.06,-244.02,380.0,380.0,Bilogora
Unkown-2,691636.55,5072723.06,-249.02,385.0,385.0,Bilogora
Unkown-2,691636.55,5072723.06,-254.02,390.0,390.0,Bilogora
Unkown-2,691636.55,5072723.06,-259.02,395.0,395.0,Bilogora
Unkown-2,691636.55,5072723.06,-264.02,400.0,400.0,Bilogora
Unkown-2,691636.55,5072723.06,-269.02,405.0,405.0,Bilogora
Unkown-2,691636.55,5072723.06,-274.02,410.0,410.0,Bilogora
Unkown-2,691636.55,5072723.06,-279.02,415.0,415.0,Bilogora
Unkown-2,691636.55,5072723.06,-284.02,420.0,420.0,Bilogora
Unkown-2,691636.55,5072723.06,-289.02,425.0,425.0,Bilogora
Unkown-2,691636.55,5072723.06,-294.02,430.0,430.0,Bilogora
Unkown-2,691636.55,5072723.06,-299.02,435.0,435.0,Bilogora
Unkown-2,691636.55,5072723.06,-304.02,440.0,440.0,Bilogora
Unkown-2,691636.55,5072723.06,-309.02,445.0,445.0,Bilogora
Unkown-2,691636.55,5072723.06,-314.02,450.0,450.0,Bilogora
Unkown-2,691636.55,5072723.06,-319.02,455.0,455.0,Bilogora
Unkown-2,691636.55,5072723.06,-324.02,460.0,460.0,Bilogora
Unkown-2,691636.55,5072723.06,-329.02,465.0,465.0,Bilogora
Unkown-2,691636.55,5072723.06,-334.02,470.0,470.0,Bilogora
Unkown-2,691636.55,5072723.06,-339.02,475.0,475.0,Bilogora
Unkown-2,691636.55,5072723.06,-344.02,480.0,480.0,Bilogora
Unkown-2,691636.55,5072723.06,-349.02,485.0,485.0,Bilogora
Unkown-2,691636.55,5072723.06,-354.02,490.0,490.0,Bilogora
Unkown-2,691636.55,5072723.06,-359.02,495.0,495.0,Bilogora
Unkown-2,691636.55,5072723.06,-364.02,500.0,500.0,Bilogora
Unkown-2,691636.55,5072723.06,-369.02,505.0,505.0,Bilogora
Unkown-2,691636.55,5072723.06,-374.02,510.0,510.0,Bilogora
Unkown-2,691636.55,5072723.06,-379.02,515.0,515.0,Bilogora
Unkown-2,691636.55,5072723.06,-384.02,520.0,520.0,Bilogora
Unkown-2,691636.55,5072723.06,-389.02,525.0,525.0,Bilogora
Unkown-2,691636.55,5072723.06,-394.02,530.0,530.0,Bilogora
Unkown-2,691636.55,5072723.06,-399.02,535.0,535.0,Bilogora
Unkown-2,691636.55,5072723.06,-404.02,540.0,540.0,Bilogora
Unkown-2,691636.55,5072723.06,-409.02,545.0,545.0,Bilogora
Unkown-2,691636.55,5072723.06,-414.02,550.0,550.0,Bilogora
Unkown-2,691636.55,5072723.06,-419.02,555.0,555.0,Bilogora
Unkown-2,691636.55,5072723.06,-424.02,560.0,560.0,Bilogora
Unkown-2,691636.55,5072723.06,-429.02,565.0,565.0,Bilogora
Unkown-2,691636.55,5072723.06,-434.02,570.0,570.0,Bilogora
Unkown-2,691636.55,5072723.06,-439.02,575.0,575.0,Bilogora
Unkown-2,691636.55,5072723.06,-444.02,580.0,580.0,Bilogora
Unkown-2,691636.55,5072723.06,-449.02,585.0,585.0,Bilogora
Unkown-2,691636.55,5072723.06,-454.02,590.0,590.0,Bilogora
Unkown-2,691636.55,5072723.06,-459.02,595.0,595.0,Bilogora
Unkown-2,691636.55,5072723.06,-464.02,600.0,600.0,Bilogora
Unkown-2,691636.55,5072723.06,-469.02,605.0,605.0,Bilogora
Unkown-2,691636.55,5072723.06,-474.02,610.0,610.0,Bilogora
Unkown-2,691636.55,5072723.06,-479.02,615.0,615.0,Bilogora
Unkown-2,691636.55,5072723.06,-484.02,620.0,620.0,Bilogora
Unkown-2,691636.55,5072723.06,-489.02,625.0,625.0,Bilogora
Unkown-2,691636.55,5072723.06,-494.02,630.0,630.0,Bilogora
Unkown-2,691636.55,5072723.06,-499.02,635.0,635.0,Bilogora
Unkown-2,691636.55,5072723.06,-504.02,640.0,640.0,Bilogora
Unkown-2,691636.55,5072723.06,-509.02,645.0,645.0,Bilogora
Unkown-2,691636.55,5072723.06,-514.02,650.0,650.0,Bilogora
Unkown-2,691636.55,5072723.06,-519.02,655.0,655.0,Bilogora
Unkown-2,691636.55,5072723.06,-524.02,660.0,660.0,Bilogora
Unkown-2,691636.55,5072723.06,-529.02,665.0,665.0,Bilogora
Unkown-2,691636.55,5072723.06,-534.02,670.0,670.0,Bilogora
Unkown-2,691636.55,5072723.06,-539.02,675.0,675.0,Bilogora
Unkown-2,691636.55,5072723.06,-544.02,680.0,680.0,Bilogora
Unkown-2,691636.55,5072723.06,-549.02,685.0,685.0,Bilogora
Unkown-2,691636.55,5072723.06,-554.02,690.0,690.0,Bilogora
Unkown-2,691636.55,5072723.06,-559.02,695.0,695.0,Bilogora
Unkown-2,691636.55,5072723.06,-564.02,700.0,700.0,Bilogora
Unkown-2,691636.55,5072723.06,-569.02,705.0,705.0,Bilogora
Unkown-2,691636.55,5072723.06,-574.02,710.0,710.0,Bilogora
Unkown-2,691636.55,5072723.06,-579.02,715.0,715.0,Bilogora
Unkown-2,691636.55,5072723.06,-584.02,720.0,720.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-589.02,725.0,725.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-594.02,730.0,730.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-599.02,735.0,735.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-604.02,740.0,740.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-609.02,745.0,745.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-614.02,750.0,750.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-619.02,755.0,755.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-624.02,760.0,760.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-629.02,765.0,765.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-634.02,770.0,770.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-639.02,775.0,775.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-644.02,780.0,780.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-649.02,785.0,785.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-654.02,790.0,790.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-659.02,795.0,795.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-664.02,800.0,800.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-669.02,805.0,805.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-674.02,810.0,810.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-679.02,815.0,815.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-684.02,820.0,820.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-689.02,825.0,825.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-694.02,830.0,830.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-699.02,835.0,835.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-704.02,840.0,840.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-709.02,845.0,845.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-714.02,850.0,850.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-719.02,855.0,855.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-724.02,860.0,860.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-729.02,865.0,865.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-734.02,870.0,870.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-739.02,875.0,875.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-744.02,880.0,880.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-749.02,885.0,885.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-754.02,890.0,890.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-759.02,895.0,895.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-764.02,900.0,900.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-769.02,905.0,905.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-774.02,910.0,910.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-779.02,915.0,915.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-784.02,920.0,920.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-789.02,925.0,925.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-794.02,930.0,930.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-799.02,935.0,935.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-804.02,940.0,940.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-809.02,945.0,945.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-814.02,950.0,950.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-819.02,955.0,955.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-824.02,960.0,960.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-829.02,965.0,965.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-834.02,970.0,970.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-839.02,975.0,975.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-844.02,980.0,980.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-849.02,985.0,985.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-854.02,990.0,990.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-859.02,995.0,995.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-864.02,1000.0,1000.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-869.02,1005.0,1005.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-874.02,1010.0,1010.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-879.02,1015.0,1015.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-884.02,1020.0,1020.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-889.02,1025.0,1025.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-894.02,1030.0,1030.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-899.02,1035.0,1035.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-904.02,1040.0,1040.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-909.02,1045.0,1045.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-914.02,1050.0,1050.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-919.02,1055.0,1055.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-924.02,1060.0,1060.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-929.02,1065.0,1065.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-934.02,1070.0,1070.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-939.02,1075.0,1075.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-944.02,1080.0,1080.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-949.02,1085.0,1085.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-954.02,1090.0,1090.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-959.02,1095.0,1095.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-964.02,1100.0,1100.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-969.02,1105.0,1105.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-974.02,1110.0,1110.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-979.02,1115.0,1115.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-984.02,1120.0,1120.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-989.02,1125.0,1125.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-994.02,1130.0,1130.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-999.02,1135.0,1135.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1004.02,1140.0,1140.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1009.02,1145.0,1145.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1014.02,1150.0,1150.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1019.02,1155.0,1155.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1024.02,1160.0,1160.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1029.02,1165.0,1165.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1034.02,1170.0,1170.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1039.02,1175.0,1175.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1044.02,1180.0,1180.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1049.02,1185.0,1185.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1054.02,1190.0,1190.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1059.02,1195.0,1195.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1064.02,1200.0,1200.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1069.02,1205.0,1205.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1074.02,1210.0,1210.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1079.02,1215.0,1215.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1084.02,1220.0,1220.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1089.02,1225.0,1225.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1094.02,1230.0,1230.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1099.02,1235.0,1235.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1104.02,1240.0,1240.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1109.02,1245.0,1245.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1114.02,1250.0,1250.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1119.02,1255.0,1255.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1124.02,1260.0,1260.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1129.02,1265.0,1265.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1134.02,1270.0,1270.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1139.02,1275.0,1275.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1144.02,1280.0,1280.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1149.02,1285.0,1285.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1154.02,1290.0,1290.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1159.02,1295.0,1295.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1164.02,1300.0,1300.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1169.02,1305.0,1305.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1174.02,1310.0,1310.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1179.02,1315.0,1315.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1184.02,1320.0,1320.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1189.02,1325.0,1325.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1194.02,1330.0,1330.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1199.02,1335.0,1335.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1204.02,1340.0,1340.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1209.02,1345.0,1345.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1214.02,1350.0,1350.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1219.02,1355.0,1355.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1224.02,1360.0,1360.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1229.02,1365.0,1365.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1234.02,1370.0,1370.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1239.02,1375.0,1375.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1244.02,1380.0,1380.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1249.02,1385.0,1385.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1254.02,1390.0,1390.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1259.02,1395.0,1395.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1264.02,1400.0,1400.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1269.02,1405.0,1405.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1274.02,1410.0,1410.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1279.02,1415.0,1415.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1284.02,1420.0,1420.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1289.02,1425.0,1425.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1294.02,1430.0,1430.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1299.02,1435.0,1435.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1304.02,1440.0,1440.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1309.02,1445.0,1445.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1314.02,1450.0,1450.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1319.02,1455.0,1455.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1324.02,1460.0,1460.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1329.02,1465.0,1465.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1334.02,1470.0,1470.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1339.02,1475.0,1475.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1344.02,1480.0,1480.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1349.02,1485.0,1485.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1354.02,1490.0,1490.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1359.02,1495.0,1495.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1364.02,1500.0,1500.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1369.02,1505.0,1505.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1374.02,1510.0,1510.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1379.02,1515.0,1515.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1384.02,1520.0,1520.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1389.02,1525.0,1525.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1394.02,1530.0,1530.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1399.02,1535.0,1535.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1404.02,1540.0,1540.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1409.02,1545.0,1545.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1414.02,1550.0,1550.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1419.02,1555.0,1555.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1424.02,1560.0,1560.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1429.02,1565.0,1565.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1434.02,1570.0,1570.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1439.02,1575.0,1575.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1444.02,1580.0,1580.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1449.02,1585.0,1585.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1454.02,1590.0,1590.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1459.02,1595.0,1595.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1464.02,1600.0,1600.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1469.02,1605.0,1605.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1474.02,1610.0,1610.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1479.02,1615.0,1615.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1484.02,1620.0,1620.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1489.02,1625.0,1625.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1494.02,1630.0,1630.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1499.02,1635.0,1635.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1504.02,1640.0,1640.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1509.02,1645.0,1645.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1514.02,1650.0,1650.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1519.02,1655.0,1655.0,KLOSTAR IVANIC
Unkown-2,691636.55,5072723.06,-1524.02,1660.0,1660.0,KLOSTAR IVANIC
