holeid,x,y,z,TVD,TEMP,GM
LONCCARICA-1,680935.09,5070578.64,-177.98,395.0,44.6341239195,0
LONCCARICA-1,680935.09,5070578.64,-182.98,400.0,44.8033026456,2
LONCCARICA-1,680935.09,5070578.64,-187.98,405.0,44.9726834266,2
LONCCARICA-1,680935.09,5070578.64,-192.98,410.0,45.0033191491,2
LONCCARICA-1,680935.09,5070578.64,-197.98,415.0,45.0341579188,2
LONCCARICA-1,680935.09,5070578.64,-202.98,420.0,45.0793281427,2
LONCCARICA-1,680935.09,5070578.64,-207.98,425.0,45.1247023964,2
LONCCARICA-1,680935.09,5070578.64,-212.98,430.0,45.203807127,2
LONCCARICA-1,680935.09,5070578.64,-217.98,435.0,45.28311686,2
LONCCARICA-1,680935.09,5070578.64,-222.98,440.0,45.3300386027,2
LONCCARICA-1,680935.09,5070578.64,-227.98,445.0,45.3771663099,2
LONCCARICA-1,680935.09,5070578.64,-232.98,450.0,45.5036650703,2
LONCCARICA-1,680935.09,5070578.64,-237.98,455.0,45.6303707466,2
LONCCARICA-1,680935.09,5070578.64,-242.98,460.0,45.6897465307,2
LONCCARICA-1,680935.09,5070578.64,-247.98,465.0,45.7493301708,2
LONCCARICA-1,680935.09,5070578.64,-252.98,470.0,45.9169104845,2
LONCCARICA-1,680935.09,5070578.64,-257.98,475.0,46.0846995829,2
LONCCARICA-1,680935.09,5070578.64,-262.98,480.0,46.1986644326,2
LONCCARICA-1,680935.09,5070578.64,-267.98,485.0,46.3128389836,2
LONCCARICA-1,680935.09,5070578.64,-272.98,490.0,46.5278708758,2
LONCCARICA-1,680935.09,5070578.64,-277.98,495.0,46.7431133735,2
LONCCARICA-1,680935.09,5070578.64,-282.98,500.0,46.8009648151,2
LONCCARICA-1,680935.09,5070578.64,-287.98,505.0,46.8590277535,2
LONCCARICA-1,680935.09,5070578.64,-292.98,510.0,46.8677337514,2
LONCCARICA-1,680935.09,5070578.64,-297.98,515.0,46.8766521242,2
LONCCARICA-1,680935.09,5070578.64,-302.98,520.0,46.9697551857,2
LONCCARICA-1,680935.09,5070578.64,-307.98,525.0,47.0630714864,2
LONCCARICA-1,680935.09,5070578.64,-312.98,530.0,47.148311619,2
LONCCARICA-1,680935.09,5070578.64,-317.98,535.0,47.2337658411,2
LONCCARICA-1,680935.09,5070578.64,-322.98,540.0,47.3255430526,2
LONCCARICA-1,680935.09,5070578.64,-327.98,545.0,47.417535189,2
LONCCARICA-1,680935.09,5070578.64,-332.98,550.0,47.5124194875,2
LONCCARICA-1,680935.09,5070578.64,-337.98,555.0,47.6075195312,2
LONCCARICA-1,680935.09,5070578.64,-342.98,560.0,47.6599384249,2
LONCCARICA-1,680935.09,5070578.64,-347.98,565.0,47.7125738685,2
LONCCARICA-1,680935.09,5070578.64,-352.98,570.0,47.8219723661,2
LONCCARICA-1,680935.09,5070578.64,-357.98,575.0,47.931588202,2
LONCCARICA-1,680935.09,5070578.64,-362.98,580.0,48.0723663125,2
LONCCARICA-1,680935.09,5070578.64,-367.98,585.0,48.2133625328,2
LONCCARICA-1,680935.09,5070578.64,-372.98,590.0,48.3161827652,2
LONCCARICA-1,680935.09,5070578.64,-377.98,595.0,48.4192218619,2
LONCCARICA-1,680935.09,5070578.64,-382.98,600.0,48.5148817259,2
LONCCARICA-1,680935.09,5070578.64,-387.98,605.0,48.6107611905,2
LONCCARICA-1,680935.09,5070578.64,-392.98,610.0,48.7073756958,2
LONCCARICA-1,680935.09,5070578.64,-397.98,615.0,48.8042105197,2
LONCCARICA-1,680935.09,5070578.64,-402.98,620.0,48.8225646765,2
LONCCARICA-1,680935.09,5070578.64,-407.98,625.0,48.8411398508,2
LONCCARICA-1,680935.09,5070578.64,-412.98,630.0,48.9517486695,2
LONCCARICA-1,680935.09,5070578.64,-417.98,635.0,49.0625791849,2
LONCCARICA-1,680935.09,5070578.64,-422.98,640.0,49.1517776764,2
LONCCARICA-1,680935.09,5070578.64,-427.98,645.0,49.2411985234,2
LONCCARICA-1,680935.09,5070578.64,-432.98,650.0,49.3627141989,2
LONCCARICA-1,680935.09,5070578.64,-437.98,655.0,49.4844528674,2
LONCCARICA-1,680935.09,5070578.64,-442.98,660.0,49.6001507385,2
LONCCARICA-1,680935.09,5070578.64,-447.98,665.0,49.7160722185,2
LONCCARICA-1,680935.09,5070578.64,-452.98,670.0,50.051722297,2
LONCCARICA-1,680935.09,5070578.64,-457.98,675.0,50.3875965778,2
LONCCARICA-1,680935.09,5070578.64,-462.98,680.0,50.2570763762,2
LONCCARICA-1,680935.09,5070578.64,-467.98,685.0,50.1267809469,2
LONCCARICA-1,680935.09,5070578.64,-472.98,690.0,50.2251279778,2
LONCCARICA-1,680935.09,5070578.64,-477.98,695.0,50.323700327,2
LONCCARICA-1,680935.09,5070578.64,-482.98,700.0,50.4281621036,2
LONCCARICA-1,680935.09,5070578.64,-487.98,705.0,50.5328497197,2
LONCCARICA-1,680935.09,5070578.64,-492.98,710.0,50.6762187555,2
LONCCARICA-1,680935.09,5070578.64,-497.98,715.0,50.8198141263,2
LONCCARICA-1,680935.09,5070578.64,-502.98,720.0,51.0232154354,2
LONCCARICA-1,680935.09,5070578.64,-507.98,725.0,51.2268435484,2
LONCCARICA-1,680935.09,5070578.64,-512.98,730.0,51.3047671452,2
LONCCARICA-1,680935.09,5070578.64,-517.98,735.0,51.3829179873,2
LONCCARICA-1,680935.09,5070578.64,-522.98,740.0,51.5360663869,2
LONCCARICA-1,680935.09,5070578.64,-527.98,745.0,51.6894424447,2
LONCCARICA-1,680935.09,5070578.64,-532.98,750.0,51.8246831625,2
LONCCARICA-1,680935.09,5070578.64,-537.98,755.0,51.960151922,2
LONCCARICA-1,680935.09,5070578.64,-542.98,760.0,52.0879949739,2
LONCCARICA-1,680935.09,5070578.64,-547.98,765.0,52.2160664207,2
LONCCARICA-1,680935.09,5070578.64,-552.98,770.0,52.3592193233,2
LONCCARICA-1,680935.09,5070578.64,-557.98,775.0,52.5026009423,2
LONCCARICA-1,680935.09,5070578.64,-562.98,780.0,52.6272062126,2
LONCCARICA-1,680935.09,5070578.64,-567.98,785.0,52.7520404884,2
LONCCARICA-1,680935.09,5070578.64,-572.98,790.0,52.923483144,2
LONCCARICA-1,680935.09,5070578.64,-577.98,795.0,53.0951550605,2
LONCCARICA-1,680935.09,5070578.64,-582.98,800.0,53.2207601196,2
LONCCARICA-1,680935.09,5070578.64,-587.98,805.0,53.3465946602,2
LONCCARICA-1,680935.09,5070578.64,-592.98,810.0,53.4817546415,2
LONCCARICA-1,680935.09,5070578.64,-597.98,815.0,53.6171442889,2
LONCCARICA-1,680935.09,5070578.64,-602.98,820.0,53.7432267119,2
LONCCARICA-1,680935.09,5070578.64,-607.98,825.0,53.8695389483,2
LONCCARICA-1,680935.09,5070578.64,-612.98,830.0,54.024068833,2
LONCCARICA-1,680935.09,5070578.64,-617.98,835.0,54.1788286398,2
LONCCARICA-1,680935.09,5070578.64,-622.98,840.0,54.3998985069,2
LONCCARICA-1,680935.09,5070578.64,-627.98,845.0,54.621198365,2
LONCCARICA-1,680935.09,5070578.64,-632.98,850.0,54.785553236,2
LONCCARICA-1,680935.09,5070578.64,-637.98,855.0,54.9501381254,2
LONCCARICA-1,680935.09,5070578.64,-642.98,860.0,55.1003405222,2
LONCCARICA-1,680935.09,5070578.64,-647.98,865.0,55.2507729224,2
LONCCARICA-1,680935.09,5070578.64,-652.98,870.0,55.4078878681,2
LONCCARICA-1,680935.09,5070578.64,-657.98,875.0,55.5652327577,2
LONCCARICA-1,680935.09,5070578.64,-662.98,880.0,55.6848727757,2
LONCCARICA-1,680935.09,5070578.64,-667.98,885.0,55.8047426326,2
LONCCARICA-1,680935.09,5070578.64,-672.98,890.0,55.9657852473,2
LONCCARICA-1,680935.09,5070578.64,-677.98,895.0,56.1270575486,2
LONCCARICA-1,680935.09,5070578.64,-682.98,900.0,56.2621777852,2
LONCCARICA-1,680935.09,5070578.64,-687.98,905.0,56.3975275073,2
LONCCARICA-1,680935.09,5070578.64,-692.98,910.0,56.5568978917,2
LONCCARICA-1,680935.09,5070578.64,-697.98,915.0,56.7164975099,2
LONCCARICA-1,680935.09,5070578.64,-702.98,920.0,56.933010569,2
LONCCARICA-1,680935.09,5070578.64,-707.98,925.0,57.1497525579,2
LONCCARICA-1,680935.09,5070578.64,-712.98,930.0,57.3460283194,2
LONCCARICA-1,680935.09,5070578.64,-717.98,935.0,57.5425326528,2
LONCCARICA-1,680935.09,5070578.64,-722.98,940.0,57.6851961452,2
LONCCARICA-1,680935.09,5070578.64,-727.98,945.0,57.8280877958,2
LONCCARICA-1,680935.09,5070578.64,-732.98,950.0,58.1657740486,2
LONCCARICA-1,680935.09,5070578.64,-737.98,955.0,58.5036979149,2
LONCCARICA-1,680935.09,5070578.64,-742.98,960.0,58.5442869865,2
LONCCARICA-1,680935.09,5070578.64,-747.98,965.0,58.5851032104,2
LONCCARICA-1,680935.09,5070578.64,-752.98,970.0,58.5300375972,2
LONCCARICA-1,680935.09,5070578.64,-757.98,975.0,58.4751985435,2
LONCCARICA-1,680935.09,5070578.64,-762.98,980.0,58.6502857772,2
LONCCARICA-1,680935.09,5070578.64,-767.98,985.0,58.8255989141,2
LONCCARICA-1,680935.09,5070578.64,-772.98,990.0,59.0177540274,2
LONCCARICA-1,680935.09,5070578.64,-777.98,995.0,59.2101343219,2
LONCCARICA-1,680935.09,5070578.64,-782.98,1000.0,59.3822198486,2
LONCCARICA-1,680935.09,5070578.64,-787.98,1005.0,59.5545297666,2
LONCCARICA-1,680935.09,5070578.64,-792.98,1010.0,59.7157832413,2
LONCCARICA-1,680935.09,5070578.64,-797.98,1015.0,59.8772602477,2
LONCCARICA-1,680935.09,5070578.64,-802.98,1020.0,60.2042367061,2
LONCCARICA-1,680935.09,5070578.64,-807.98,1025.0,60.5314357646,2
LONCCARICA-1,680935.09,5070578.64,-812.98,1030.0,60.5579327434,2
LONCCARICA-1,680935.09,5070578.64,-817.98,1035.0,60.5846513166,2
LONCCARICA-1,680935.09,5070578.64,-822.98,1040.0,60.7860138537,2
LONCCARICA-1,680935.09,5070578.64,-827.98,1045.0,60.9875969027,2
LONCCARICA-1,680935.09,5070578.64,-832.98,1050.0,61.1600600371,2
LONCCARICA-1,680935.09,5070578.64,-837.98,1055.0,61.332742522,2
LONCCARICA-1,680935.09,5070578.64,-842.98,1060.0,61.5507087936,2
LONCCARICA-1,680935.09,5070578.64,-847.98,1065.0,61.7688931732,2
LONCCARICA-1,680935.09,5070578.64,-852.98,1070.0,61.9578201233,2
LONCCARICA-1,680935.09,5070578.64,-857.98,1075.0,62.1469638552,2
LONCCARICA-1,680935.09,5070578.64,-862.98,1080.0,62.326931526,2
LONCCARICA-1,680935.09,5070578.64,-867.98,1085.0,62.5071145665,2
LONCCARICA-1,680935.09,5070578.64,-872.98,1090.0,62.7104405014,2
LONCCARICA-1,680935.09,5070578.64,-877.98,1095.0,62.9139803054,2
LONCCARICA-1,680935.09,5070578.64,-882.98,1100.0,62.9695220491,2
LONCCARICA-1,680935.09,5070578.64,-887.98,1105.0,63.0252760702,2
LONCCARICA-1,680935.09,5070578.64,-892.98,1110.0,63.2274861683,2
LONCCARICA-1,680935.09,5070578.64,-897.98,1115.0,63.4299068589,2
LONCCARICA-1,680935.09,5070578.64,-902.98,1120.0,63.5953528585,2
LONCCARICA-1,680935.09,5070578.64,-907.98,1125.0,63.7610076694,1
LONCCARICA-1,680935.09,5070578.64,-912.98,1130.0,63.9303521186,1
LONCCARICA-1,680935.09,5070578.64,-917.98,1135.0,64.0998886636,1
LONCCARICA-1,680935.09,5070578.64,-922.98,1140.0,64.306571338,1
LONCCARICA-1,680935.09,5070578.64,-927.98,1145.0,64.5134589624,1
LONCCARICA-1,680935.09,5070578.64,-932.98,1150.0,64.6630026842,1
LONCCARICA-1,680935.09,5070578.64,-937.98,1155.0,64.8127492718,1
LONCCARICA-1,680935.09,5070578.64,-942.98,1160.0,65.0215740932,1
LONCCARICA-1,680935.09,5070578.64,-947.98,1165.0,65.2305995904,1
LONCCARICA-1,680935.09,5070578.64,-952.98,1170.0,65.4465480651,1
LONCCARICA-1,680935.09,5070578.64,-957.98,1175.0,65.6626949167,1
LONCCARICA-1,680935.09,5070578.64,-962.98,1180.0,65.8798120997,1
LONCCARICA-1,680935.09,5070578.64,-967.98,1185.0,66.0971252492,1
LONCCARICA-1,680935.09,5070578.64,-972.98,1190.0,66.2767911966,1
LONCCARICA-1,680935.09,5070578.64,-977.98,1195.0,66.4566505863,1
LONCCARICA-1,680935.09,5070578.64,-982.98,1200.0,66.6908678556,1
LONCCARICA-1,680935.09,5070578.64,-987.98,1205.0,66.9252759265,1
LONCCARICA-1,680935.09,5070578.64,-992.98,1210.0,67.2310020763,1
LONCCARICA-1,680935.09,5070578.64,-997.98,1215.0,67.5369162682,1
LONCCARICA-1,680935.09,5070578.64,-1002.98,1220.0,67.6813138585,1
LONCCARICA-1,680935.09,5070578.64,-1007.98,1225.0,67.8258966098,1
LONCCARICA-1,680935.09,5070578.64,-1012.98,1230.0,68.1185907017,1
LONCCARICA-1,680935.09,5070578.64,-1017.98,1235.0,68.4114669496,1
LONCCARICA-1,680935.09,5070578.64,-1022.98,1240.0,68.6227501055,1
LONCCARICA-1,680935.09,5070578.64,-1027.98,1245.0,68.8342122858,1
LONCCARICA-1,680935.09,5070578.64,-1032.98,1250.0,69.0489895693,1
LONCCARICA-1,680935.09,5070578.64,-1037.98,1255.0,69.263942617,1
LONCCARICA-1,680935.09,5070578.64,-1042.98,1260.0,69.4065690928,1
LONCCARICA-1,680935.09,5070578.64,-1047.98,1265.0,69.5493679412,1
LONCCARICA-1,680935.09,5070578.64,-1052.98,1270.0,69.6100561753,1
LONCCARICA-1,680935.09,5070578.64,-1057.98,1275.0,69.670913257,1
LONCCARICA-1,680935.09,5070578.64,-1062.98,1280.0,69.9118958163,1
LONCCARICA-1,680935.09,5070578.64,-1067.98,1285.0,70.1530435625,1
LONCCARICA-1,680935.09,5070578.64,-1072.98,1290.0,70.5706105152,1
LONCCARICA-1,680935.09,5070578.64,-1077.98,1295.0,70.9883388562,1
LONCCARICA-1,680935.09,5070578.64,-1082.98,1300.0,71.1496327714,1
LONCCARICA-1,680935.09,5070578.64,-1087.98,1305.0,71.3110841362,1
LONCCARICA-1,680935.09,5070578.64,-1092.98,1310.0,71.4928150843,1
LONCCARICA-1,680935.09,5070578.64,-1097.98,1315.0,71.6746994011,1
LONCCARICA-1,680935.09,5070578.64,-1102.98,1320.0,71.9348574533,1
LONCCARICA-1,680935.09,5070578.64,-1107.98,1325.0,72.1951646492,1
LONCCARICA-1,680935.09,5070578.64,-1112.98,1330.0,72.4081298776,1
LONCCARICA-1,680935.09,5070578.64,-1117.98,1335.0,72.6212398788,1
LONCCARICA-1,680935.09,5070578.64,-1122.98,1340.0,72.9245798565,1
LONCCARICA-1,680935.09,5070578.64,-1127.98,1345.0,73.2280600886,1
LONCCARICA-1,680935.09,5070578.64,-1132.98,1350.0,73.4929048895,1
LONCCARICA-1,680935.09,5070578.64,-1137.98,1355.0,73.7578852769,1
LONCCARICA-1,680935.09,5070578.64,-1142.98,1360.0,74.0563949758,1
LONCCARICA-1,680935.09,5070578.64,-1147.98,1365.0,74.3550354423,1
LONCCARICA-1,680935.09,5070578.64,-1152.98,1370.0,74.5811601148,1
LONCCARICA-1,680935.09,5070578.64,-1157.98,1375.0,74.8074105835,1
LONCCARICA-1,680935.09,5070578.64,-1162.98,1380.0,75.1235553056,1
LONCCARICA-1,680935.09,5070578.64,-1167.98,1385.0,75.4398206991,1
LONCCARICA-1,680935.09,5070578.64,-1172.98,1390.0,75.6759030477,1
LONCCARICA-1,680935.09,5070578.64,-1177.98,1395.0,75.9121007878,1
LONCCARICA-1,680935.09,5070578.64,-1182.98,1400.0,76.1102583404,1
LONCCARICA-1,680935.09,5070578.64,-1187.98,1405.0,76.3085258485,1
LONCCARICA-1,680935.09,5070578.64,-1192.98,1410.0,76.5585586829,1
LONCCARICA-1,680935.09,5070578.64,-1197.98,1415.0,76.8086958801,1
LONCCARICA-1,680935.09,5070578.64,-1202.98,1420.0,77.2806765747,1
LONCCARICA-1,680935.09,5070578.64,-1207.98,1425.0,77.7527558815,1
LONCCARICA-1,680935.09,5070578.64,-1212.98,1430.0,78.0356145149,1
LONCCARICA-1,680935.09,5070578.64,-1217.98,1435.0,78.3185658518,1
LONCCARICA-1,680935.09,5070578.64,-1222.98,1440.0,78.7700400031,1
LONCCARICA-1,680935.09,5070578.64,-1227.98,1445.0,79.2216007902,1
LONCCARICA-1,680935.09,5070578.64,-1232.98,1450.0,79.4642880385,1
LONCCARICA-1,680935.09,5070578.64,-1237.98,1455.0,79.7070556959,1
LONCCARICA-1,680935.09,5070578.64,-1242.98,1460.0,80.1352636207,1
LONCCARICA-1,680935.09,5070578.64,-1247.98,1465.0,80.5635455684,1
LONCCARICA-1,680935.09,5070578.64,-1252.98,1470.0,80.7689967489,1
LONCCARICA-1,680935.09,5070578.64,-1257.98,1475.0,80.974515407,1
LONCCARICA-1,680935.09,5070578.64,-1262.98,1480.0,81.2610874226,1
LONCCARICA-1,680935.09,5070578.64,-1267.98,1485.0,81.5477202115,1
LONCCARICA-1,680935.09,5070578.64,-1272.98,1490.0,82.1999531412,1
LONCCARICA-1,680935.09,5070578.64,-1277.98,1495.0,82.8522399815,1
LONCCARICA-1,680935.09,5070578.64,-1282.98,1500.0,83.053807608,1
LONCCARICA-1,680935.09,5070578.64,-1287.98,1505.0,83.2554221242,1
LONCCARICA-1,680935.09,5070578.64,-1292.98,1510.0,83.4570799603,1
LONCCARICA-1,680935.09,5070578.64,-1297.98,1515.0,83.6587775078,1
LONCCARICA-1,680935.09,5070578.64,-1302.98,1520.0,83.8605111187,1
LONCCARICA-1,680935.09,5070578.64,-1307.98,1525.0,84.0622771064,1
LONCCARICA-1,680935.09,5070578.64,-1312.98,1530.0,84.2640717452,1
LONCCARICA-1,680935.09,5070578.64,-1317.98,1535.0,84.4658912709,1
LONCCARICA-1,680935.09,5070578.64,-1322.98,1540.0,84.6677318809,1
LONCCARICA-1,680935.09,5070578.64,-1327.98,1545.0,84.8695897343,1
LONCCARICA-1,680935.09,5070578.64,-1332.98,1550.0,85.0714609522,1
LONCCARICA-1,680935.09,5070578.64,-1337.98,1555.0,85.2733416176,1
LONCCARICA-1,680935.09,5070578.64,-1342.98,1560.0,85.4752277761,1
LONCCARICA-1,680935.09,5070578.64,-1347.98,1565.0,85.677115436,1
LONCCARICA-1,680935.09,5070578.64,-1352.98,1570.0,85.8790005682,1
LONCCARICA-1,680935.09,5070578.64,-1357.98,1575.0,86.0808791071,1
LONCCARICA-1,680935.09,5070578.64,-1362.98,1580.0,86.2827469501,1
LONCCARICA-1,680935.09,5070578.64,-1367.98,1585.0,86.4845999587,1
LONCCARICA-1,680935.09,5070578.64,-1372.98,1590.0,86.6864339583,1
LONCCARICA-1,680935.09,5070578.64,-1377.98,1595.0,86.8882447386,1
LONCCARICA-1,680935.09,5070578.64,-1382.98,1600.0,87.0900280539,1
LONCCARICA-1,680935.09,5070578.64,-1387.98,1605.0,87.2917796238,1
LONCCARICA-1,680935.09,5070578.64,-1392.98,1610.0,87.4934951332,1
LONCCARICA-1,680935.09,5070578.64,-1397.98,1615.0,87.6951702326,1
LONCCARICA-1,680935.09,5070578.64,-1402.98,1620.0,87.8968005388,1
LONCCARICA-1,680935.09,5070578.64,-1407.98,1625.0,88.0983816352,1
LONCCARICA-1,680935.09,5070578.64,-1412.98,1630.0,88.2999090722,1
LONCCARICA-1,680935.09,5070578.64,-1417.98,1635.0,88.5013783674,1
LONCCARICA-1,680935.09,5070578.64,-1422.98,1640.0,88.7027850064,1
LONCCARICA-1,680935.09,5070578.64,-1427.98,1645.0,88.9041244432,1
LONCCARICA-1,680935.09,5070578.64,-1432.98,1650.0,89.1053921005,1
LONCCARICA-1,680935.09,5070578.64,-1437.98,1655.0,89.3065833702,1
LONCCARICA-1,680935.09,5070578.64,-1442.98,1660.0,89.507693614,1
LONCCARICA-1,680935.09,5070578.64,-1447.98,1665.0,89.7087181639,1
LONCCARICA-1,680935.09,5070578.64,-1452.98,1670.0,89.9096523226,1
LONCCARICA-1,680935.09,5070578.64,-1457.98,1675.0,90.1104913643,1
LONCCARICA-1,680935.09,5070578.64,-1462.98,1680.0,90.3112305349,1
LONCCARICA-1,680935.09,5070578.64,-1467.98,1685.0,90.5118650528,1
LONCCARICA-1,680935.09,5070578.64,-1472.98,1690.0,90.7123901095,1
LONCCARICA-1,680935.09,5070578.64,-1477.98,1695.0,90.91280087,4
LONCCARICA-1,680935.09,5070578.64,-1482.98,1700.0,91.1130924735,4
LONCCARICA-1,680935.09,5070578.64,-1487.98,1705.0,91.3132600341,4
LONCCARICA-1,680935.09,5070578.64,-1492.98,1710.0,91.5132986413,4
LONCCARICA-1,680935.09,5070578.64,-1497.98,1715.0,91.7132033606,4
LONCCARICA-1,680935.09,5070578.64,-1502.98,1720.0,91.9129692343,4
LONCCARICA-1,680935.09,5070578.64,-1507.98,1725.0,92.1125912822,4
LONCCARICA-1,680935.09,5070578.64,-1512.98,1730.0,92.3120645019,4
LONCCARICA-1,680935.09,5070578.64,-1517.98,1735.0,92.51138387,4
LONCCARICA-1,680935.09,5070578.64,-1522.98,1740.0,92.7105443424,4
LONCCARICA-1,680935.09,5070578.64,-1527.98,1745.0,92.9095408552,4
LONCCARICA-1,680935.09,5070578.64,-1532.98,1750.0,93.1083683255,4
LONCCARICA-1,680935.09,5070578.64,-1537.98,1755.0,93.3070216517,4
LONCCARICA-1,680935.09,5070578.64,-1542.98,1760.0,93.505495715,4
