holeid,x,y,z,MD,TVD,GM_lthology
Unknown_2,691636.55,5072723.1,20.98,115.0,115.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,15.98,120.0,120.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,10.98,125.0,125.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,5.98,130.0,130.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,0.98,135.0,135.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-4.02,140.0,140.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-9.02,145.0,145.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-14.02,150.0,150.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-19.02,155.0,155.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-24.02,160.0,160.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-29.02,165.0,165.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-34.02,170.0,170.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-39.02,175.0,175.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-44.02,180.0,180.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-49.02,185.0,185.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-54.02,190.0,190.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-59.02,195.0,195.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-64.02,200.0,200.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-69.02,205.0,205.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-74.02,210.0,210.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-79.02,215.0,215.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-84.02,220.0,220.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-89.02,225.0,225.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-94.02,230.0,230.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-99.02,235.0,235.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-104.02,240.0,240.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-109.02,245.0,245.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-114.02,250.0,250.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-119.02,255.0,255.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-124.02,260.0,260.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-129.02,265.0,265.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-134.02,270.0,270.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-139.02,275.0,275.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-144.02,280.0,280.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-149.02,285.0,285.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-154.02,290.0,290.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-159.02,295.0,295.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-164.02,300.0,300.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-169.02,305.0,305.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-174.02,310.0,310.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-179.02,315.0,315.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-184.02,320.0,320.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-189.02,325.0,325.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-194.02,330.0,330.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-199.02,335.0,335.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-204.02,340.0,340.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-209.02,345.0,345.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-214.02,350.0,350.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-219.02,355.0,355.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-224.02,360.0,360.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-229.02,365.0,365.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-234.02,370.0,370.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,-239.02,375.0,375.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-244.02,380.0,380.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-249.02,385.0,385.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-254.02,390.0,390.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-259.02,395.0,395.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-264.02,400.0,400.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-269.02,405.0,405.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-274.02,410.0,410.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-279.02,415.0,415.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-284.02,420.0,420.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-289.02,425.0,425.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-294.02,430.0,430.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-299.02,435.0,435.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-304.02,440.0,440.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-309.02,445.0,445.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-314.02,450.0,450.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-319.02,455.0,455.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-324.02,460.0,460.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-329.02,465.0,465.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-334.02,470.0,470.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-339.02,475.0,475.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-344.02,480.0,480.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-349.02,485.0,485.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-354.02,490.0,490.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-359.02,495.0,495.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-364.02,500.0,500.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-369.02,505.0,505.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-374.02,510.0,510.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-379.02,515.0,515.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-384.02,520.0,520.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-389.02,525.0,525.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-394.02,530.0,530.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-399.02,535.0,535.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-404.02,540.0,540.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-409.02,545.0,545.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-414.02,550.0,550.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-419.02,555.0,555.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-424.02,560.0,560.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-429.02,565.0,565.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-434.02,570.0,570.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-439.02,575.0,575.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-444.02,580.0,580.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-449.02,585.0,585.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-454.02,590.0,590.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-459.02,595.0,595.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-464.02,600.0,600.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-469.02,605.0,605.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-474.02,610.0,610.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-479.02,615.0,615.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-484.02,620.0,620.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-489.02,625.0,625.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-494.02,630.0,630.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-499.02,635.0,635.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-504.02,640.0,640.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-509.02,645.0,645.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-514.02,650.0,650.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-519.02,655.0,655.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-524.02,660.0,660.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-529.02,665.0,665.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-534.02,670.0,670.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-539.02,675.0,675.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-544.02,680.0,680.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-549.02,685.0,685.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-554.02,690.0,690.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-559.02,695.0,695.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-564.02,700.0,700.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-569.02,705.0,705.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-574.02,710.0,710.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-579.02,715.0,715.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-584.02,720.0,720.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-589.02,725.0,725.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-594.02,730.0,730.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-599.02,735.0,735.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-604.02,740.0,740.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-609.02,745.0,745.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-614.02,750.0,750.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-619.02,755.0,755.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-624.02,760.0,760.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-629.02,765.0,765.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-634.02,770.0,770.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-639.02,775.0,775.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-644.02,780.0,780.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-649.02,785.0,785.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-654.02,790.0,790.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-659.02,795.0,795.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-664.02,800.0,800.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-669.02,805.0,805.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-674.02,810.0,810.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-679.02,815.0,815.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-684.02,820.0,820.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-689.02,825.0,825.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-694.02,830.0,830.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-699.02,835.0,835.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-704.02,840.0,840.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-709.02,845.0,845.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-714.02,850.0,850.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-719.02,855.0,855.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-724.02,860.0,860.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-729.02,865.0,865.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-734.02,870.0,870.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-739.02,875.0,875.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-744.02,880.0,880.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-749.02,885.0,885.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-754.02,890.0,890.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-759.02,895.0,895.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-764.02,900.0,900.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-769.02,905.0,905.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-774.02,910.0,910.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-779.02,915.0,915.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-784.02,920.0,920.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-789.02,925.0,925.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-794.02,930.0,930.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-799.02,935.0,935.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-804.02,940.0,940.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-809.02,945.0,945.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-814.02,950.0,950.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-819.02,955.0,955.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-824.02,960.0,960.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-829.02,965.0,965.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-834.02,970.0,970.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-839.02,975.0,975.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-844.02,980.0,980.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-849.02,985.0,985.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-854.02,990.0,990.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-859.02,995.0,995.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-864.02,1000.0,1000.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-869.02,1005.0,1005.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-874.02,1010.0,1010.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-879.02,1015.0,1015.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-884.02,1020.0,1020.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-889.02,1025.0,1025.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-894.02,1030.0,1030.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-899.02,1035.0,1035.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-904.02,1040.0,1040.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-909.02,1045.0,1045.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-914.02,1050.0,1050.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-919.02,1055.0,1055.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-924.02,1060.0,1060.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-929.02,1065.0,1065.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-934.02,1070.0,1070.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-939.02,1075.0,1075.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-944.02,1080.0,1080.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-949.02,1085.0,1085.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-954.02,1090.0,1090.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-959.02,1095.0,1095.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-964.02,1100.0,1100.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-969.02,1105.0,1105.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-974.02,1110.0,1110.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-979.02,1115.0,1115.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-984.02,1120.0,1120.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-989.02,1125.0,1125.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-994.02,1130.0,1130.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-999.02,1135.0,1135.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1004.02,1140.0,1140.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1009.02,1145.0,1145.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1014.02,1150.0,1150.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1019.02,1155.0,1155.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1024.02,1160.0,1160.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1029.02,1165.0,1165.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1034.02,1170.0,1170.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1039.02,1175.0,1175.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1044.02,1180.0,1180.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1049.02,1185.0,1185.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1054.02,1190.0,1190.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1059.02,1195.0,1195.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1064.02,1200.0,1200.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1069.02,1205.0,1205.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1074.02,1210.0,1210.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1079.02,1215.0,1215.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1084.02,1220.0,1220.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1089.02,1225.0,1225.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1094.02,1230.0,1230.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1099.02,1235.0,1235.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1104.02,1240.0,1240.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1109.02,1245.0,1245.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1114.02,1250.0,1250.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1119.02,1255.0,1255.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1124.02,1260.0,1260.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1129.02,1265.0,1265.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1134.02,1270.0,1270.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1139.02,1275.0,1275.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1144.02,1280.0,1280.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1149.02,1285.0,1285.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1154.02,1290.0,1290.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1159.02,1295.0,1295.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1164.02,1300.0,1300.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1169.02,1305.0,1305.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1174.02,1310.0,1310.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1179.02,1315.0,1315.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1184.02,1320.0,1320.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1189.02,1325.0,1325.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1194.02,1330.0,1330.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1199.02,1335.0,1335.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1204.02,1340.0,1340.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1209.02,1345.0,1345.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1214.02,1350.0,1350.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1219.02,1355.0,1355.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1224.02,1360.0,1360.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1229.02,1365.0,1365.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1234.02,1370.0,1370.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1239.02,1375.0,1375.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1244.02,1380.0,1380.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1249.02,1385.0,1385.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1254.02,1390.0,1390.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1259.02,1395.0,1395.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1264.02,1400.0,1400.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1269.02,1405.0,1405.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1274.02,1410.0,1410.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1279.02,1415.0,1415.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1284.02,1420.0,1420.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1289.02,1425.0,1425.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1294.02,1430.0,1430.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1299.02,1435.0,1435.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1304.02,1440.0,1440.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1309.02,1445.0,1445.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1314.02,1450.0,1450.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1319.02,1455.0,1455.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1324.02,1460.0,1460.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1329.02,1465.0,1465.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1334.02,1470.0,1470.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1339.02,1475.0,1475.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1344.02,1480.0,1480.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1349.02,1485.0,1485.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1354.02,1490.0,1490.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1359.02,1495.0,1495.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1364.02,1500.0,1500.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1369.02,1505.0,1505.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1374.02,1510.0,1510.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1379.02,1515.0,1515.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1384.02,1520.0,1520.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1389.02,1525.0,1525.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1394.02,1530.0,1530.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1399.02,1535.0,1535.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1404.02,1540.0,1540.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1409.02,1545.0,1545.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1414.02,1550.0,1550.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1419.02,1555.0,1555.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1424.02,1560.0,1560.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1429.02,1565.0,1565.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1434.02,1570.0,1570.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1439.02,1575.0,1575.0,Marls and Sandstones
Unknown_2,691636.55,5072723.1,-1444.02,1580.0,1580.0,Marls and Sandstones
