holeid,x,y,z,TVD,PERM,POR,GM_lthology
LONCCARICA-1_planed,680935.09,5070578.64,-12.99,230.01,17.869511298,13.9597161627,5
LONCCARICA-1_planed,680935.09,5070578.64,-17.99,235.01,17.8567601182,13.950675507,5
LONCCARICA-1_planed,680935.09,5070578.64,-22.99,240.01,17.8440097564,13.9416374905,5
LONCCARICA-1_planed,680935.09,5070578.64,-27.99,245.01,17.8312602301,13.9326021268,5
LONCCARICA-1_planed,680935.09,5070578.64,-32.99,250.01,17.8185115567,13.9235694296,5
LONCCARICA-1_planed,680935.09,5070578.64,-37.99,255.01,17.8057637537,13.9145394122,5
LONCCARICA-1_planed,680935.09,5070578.64,-42.99,260.01,17.7930168387,13.9055120884,5
LONCCARICA-1_planed,680935.09,5070578.64,-47.99,265.01,17.780270829,13.8964874716,5
LONCCARICA-1_planed,680935.09,5070578.64,-52.99,270.01,17.7675257423,13.8874655753,5
LONCCARICA-1_planed,680935.09,5070578.64,-57.99,275.01,17.7547815959,13.8784464131,5
LONCCARICA-1_planed,680935.09,5070578.64,-62.99,280.01,17.7420384075,13.8694299985,5
LONCCARICA-1_planed,680935.09,5070578.64,-67.99,285.01,17.7292961944,13.8604163451,5
LONCCARICA-1_planed,680935.09,5070578.64,-72.99,290.01,17.7165549743,13.8514054663,5
LONCCARICA-1_planed,680935.09,5070578.64,-77.99,295.01,17.7038147645,13.8423973757,5
LONCCARICA-1_planed,680935.09,5070578.64,-82.99,300.01,17.6910755826,13.8333920867,5
LONCCARICA-1_planed,680935.09,5070578.64,-87.99,305.01,17.6783374461,13.8243896129,5
LONCCARICA-1_planed,680935.09,5070578.64,-92.99,310.01,17.6656003725,13.8153899678,5
LONCCARICA-1_planed,680935.09,5070578.64,-97.99,315.01,17.6528643793,13.8063931648,5
LONCCARICA-1_planed,680935.09,5070578.64,-102.99,320.01,17.640129484,13.7973992175,5
LONCCARICA-1_planed,680935.09,5070578.64,-107.99,325.01,17.6273957042,13.7884081393,5
LONCCARICA-1_planed,680935.09,5070578.64,-112.99,330.01,17.6146630573,13.7794199437,5
LONCCARICA-1_planed,680935.09,5070578.64,-117.99,335.01,17.6019315609,13.7704346441,5
LONCCARICA-1_planed,680935.09,5070578.64,-122.99,340.01,17.5892012324,13.7614522541,5
LONCCARICA-1_planed,680935.09,5070578.64,-127.99,345.01,17.5764720894,13.7524727871,5
LONCCARICA-1_planed,680935.09,5070578.64,-132.99,350.01,17.5637441494,13.7434962564,5
LONCCARICA-1_planed,680935.09,5070578.64,-137.99,355.01,17.5510174299,13.7345226757,5
LONCCARICA-1_planed,680935.09,5070578.64,-142.99,360.01,17.5382919484,13.7255520583,5
LONCCARICA-1_planed,680935.09,5070578.64,-147.99,365.01,17.5255677225,13.7165844176,5
LONCCARICA-1_planed,680935.09,5070578.64,-152.99,370.01,17.5128447695,13.7076197671,5
LONCCARICA-1_planed,680935.09,5070578.64,-157.99,375.01,17.5001231072,13.6986581202,5
LONCCARICA-1_planed,680935.09,5070578.64,-162.99,380.01,17.4874027529,13.6896994902,5
LONCCARICA-1_planed,680935.09,5070578.64,-167.98,385.0,17.4746837242,13.6807438907,5
LONCCARICA-1_planed,680935.09,5070578.64,-172.98,390.0,17.4619660386,13.671791335,3
LONCCARICA-1_planed,680935.09,5070578.64,-177.98,395.0,17.4492497136,13.6628418365,3
LONCCARICA-1_planed,680935.09,5070578.64,-182.98,400.0,17.4365347668,13.6538954086,3
LONCCARICA-1_planed,680935.09,5070578.64,-187.98,405.0,17.4238212156,13.6449520646,3
LONCCARICA-1_planed,680935.09,5070578.64,-192.98,410.0,17.4111090775,13.636011818,3
LONCCARICA-1_planed,680935.09,5070578.64,-197.98,415.0,17.39839837,13.627074682,3
LONCCARICA-1_planed,680935.09,5070578.64,-202.98,420.0,17.3856891108,13.6181406701,3
LONCCARICA-1_planed,680935.09,5070578.64,-207.98,425.0,17.3729813172,13.6092097956,3
LONCCARICA-1_planed,680935.09,5070578.64,-212.98,430.0,17.3602750067,13.6002820718,3
LONCCARICA-1_planed,680935.09,5070578.64,-217.98,435.0,17.347570197,13.5913575121,3
LONCCARICA-1_planed,680935.09,5070578.64,-222.98,440.0,17.3348669054,13.5824361298,3
LONCCARICA-1_planed,680935.09,5070578.64,-227.98,445.0,17.3221651495,13.5735179382,3
LONCCARICA-1_planed,680935.09,5070578.64,-232.98,450.0,17.3094649468,13.5646029506,3
LONCCARICA-1_planed,680935.09,5070578.64,-237.98,455.0,17.2967663148,13.5556911803,3
LONCCARICA-1_planed,680935.09,5070578.64,-242.98,460.0,17.2840692709,13.5467826406,3
LONCCARICA-1_planed,680935.09,5070578.64,-247.98,465.0,17.2713738327,13.5378773448,3
LONCCARICA-1_planed,680935.09,5070578.64,-252.98,470.0,17.2586800176,13.5289753062,3
LONCCARICA-1_planed,680935.09,5070578.64,-257.98,475.0,17.2459878432,13.520076538,3
LONCCARICA-1_planed,680935.09,5070578.64,-262.98,480.0,17.2332973269,13.5111810535,3
LONCCARICA-1_planed,680935.09,5070578.64,-267.98,485.0,17.2206084862,13.502288866,3
LONCCARICA-1_planed,680935.09,5070578.64,-272.98,490.0,17.2079213385,13.4933999886,3
LONCCARICA-1_planed,680935.09,5070578.64,-277.98,495.0,17.1952359015,13.4845144346,3
LONCCARICA-1_planed,680935.09,5070578.64,-282.98,500.0,17.1825521925,13.4756322172,3
LONCCARICA-1_planed,680935.09,5070578.64,-287.98,505.0,17.169870229,13.4667533497,3
LONCCARICA-1_planed,680935.09,5070578.64,-292.98,510.0,17.1571900284,13.4578778453,3
LONCCARICA-1_planed,680935.09,5070578.64,-297.98,515.0,17.1445116083,13.449005717,3
LONCCARICA-1_planed,680935.09,5070578.64,-302.98,520.0,17.1318349861,13.4401369782,3
LONCCARICA-1_planed,680935.09,5070578.64,-307.98,525.0,17.1191601793,13.431271642,3
LONCCARICA-1_planed,680935.09,5070578.64,-312.98,530.0,17.1064872052,13.4224097216,3
LONCCARICA-1_planed,680935.09,5070578.64,-317.98,535.0,17.0938160815,13.4135512301,3
LONCCARICA-1_planed,680935.09,5070578.64,-322.98,540.0,17.0811468254,13.4046961806,3
LONCCARICA-1_planed,680935.09,5070578.64,-327.98,545.0,17.0684794544,13.3958445863,3
LONCCARICA-1_planed,680935.09,5070578.64,-332.98,550.0,17.0558139861,13.3869964604,3
LONCCARICA-1_planed,680935.09,5070578.64,-337.98,555.0,17.0431504377,13.3781518159,3
LONCCARICA-1_planed,680935.09,5070578.64,-342.98,560.0,17.0304888268,13.3693106659,3
LONCCARICA-1_planed,680935.09,5070578.64,-347.98,565.0,17.0178291708,13.3604730235,3
LONCCARICA-1_planed,680935.09,5070578.64,-352.98,570.0,17.0051714871,13.3516389019,3
LONCCARICA-1_planed,680935.09,5070578.64,-357.98,575.0,16.992515793,13.3428083141,3
LONCCARICA-1_planed,680935.09,5070578.64,-362.98,580.0,16.9798621061,13.3339812731,3
LONCCARICA-1_planed,680935.09,5070578.64,-367.98,585.0,16.9672104436,13.325157792,3
LONCCARICA-1_planed,680935.09,5070578.64,-372.98,590.0,16.9545608231,13.3163378839,3
LONCCARICA-1_planed,680935.09,5070578.64,-377.98,595.0,16.9419132619,13.3075215617,3
LONCCARICA-1_planed,680935.09,5070578.64,-382.98,600.0,16.9292677774,13.2987088385,3
LONCCARICA-1_planed,680935.09,5070578.64,-387.98,605.0,16.9166243869,13.2898997273,3
LONCCARICA-1_planed,680935.09,5070578.64,-392.98,610.0,16.903983108,13.2810942411,3
LONCCARICA-1_planed,680935.09,5070578.64,-397.98,615.0,16.8913439578,13.2722923929,3
LONCCARICA-1_planed,680935.09,5070578.64,-402.98,620.0,16.8787069538,13.2634941956,3
LONCCARICA-1_planed,680935.09,5070578.64,-407.98,625.0,16.8660721134,13.2546996622,3
LONCCARICA-1_planed,680935.09,5070578.64,-412.98,630.0,16.8534394539,13.2459088057,3
LONCCARICA-1_planed,680935.09,5070578.64,-417.98,635.0,16.8408089926,13.2371216389,3
LONCCARICA-1_planed,680935.09,5070578.64,-422.98,640.0,16.828180747,13.2283381749,3
LONCCARICA-1_planed,680935.09,5070578.64,-427.98,645.0,16.8155547342,13.2195584265,3
LONCCARICA-1_planed,680935.09,5070578.64,-432.98,650.0,16.8029309718,13.2107824066,3
LONCCARICA-1_planed,680935.09,5070578.64,-437.98,655.0,16.7903094769,13.2020101282,3
LONCCARICA-1_planed,680935.09,5070578.64,-442.98,660.0,16.7776902668,13.193241604,3
LONCCARICA-1_planed,680935.09,5070578.64,-447.98,665.0,16.765073359,13.184476847,3
LONCCARICA-1_planed,680935.09,5070578.64,-452.98,670.0,16.7524587707,13.1757158699,3
LONCCARICA-1_planed,680935.09,5070578.64,-457.98,675.0,16.7398465192,13.1669586858,3
LONCCARICA-1_planed,680935.09,5070578.64,-462.98,680.0,16.7272366218,13.1582053072,3
LONCCARICA-1_planed,680935.09,5070578.64,-467.98,685.0,16.7146290957,13.1494557472,3
LONCCARICA-1_planed,680935.09,5070578.64,-472.98,690.0,16.7020239583,13.1407100184,3
LONCCARICA-1_planed,680935.09,5070578.64,-477.98,695.0,16.6894212268,13.1319681337,3
LONCCARICA-1_planed,680935.09,5070578.64,-482.98,700.0,16.6768209184,13.1232301058,3
LONCCARICA-1_planed,680935.09,5070578.64,-487.98,705.0,16.6642230504,13.1144959475,3
LONCCARICA-1_planed,680935.09,5070578.64,-492.98,710.0,16.65162764,13.1057656716,3
LONCCARICA-1_planed,680935.09,5070578.64,-497.98,715.0,16.6390347045,13.0970392907,3
LONCCARICA-1_planed,680935.09,5070578.64,-502.98,720.0,16.6264442612,13.0883168176,3
LONCCARICA-1_planed,680935.09,5070578.64,-507.98,725.0,16.6138563271,13.079598265,3
LONCCARICA-1_planed,680935.09,5070578.64,-512.98,730.0,16.6012709195,13.0708836456,3
LONCCARICA-1_planed,680935.09,5070578.64,-517.98,735.0,16.5886880557,13.062172972,3
LONCCARICA-1_planed,680935.09,5070578.64,-522.98,740.0,16.5761077527,13.053466257,3
LONCCARICA-1_planed,680935.09,5070578.64,-527.98,745.0,16.5635300278,13.0447641447,3
LONCCARICA-1_planed,680935.09,5070578.64,-532.98,750.0,16.5509548982,13.0360653905,3
LONCCARICA-1_planed,680935.09,5070578.64,-537.98,755.0,16.538382381,13.0273706326,3
LONCCARICA-1_planed,680935.09,5070578.64,-542.98,760.0,16.5258124934,13.0186798838,3
LONCCARICA-1_planed,680935.09,5070578.64,-547.98,765.0,16.5132452525,13.0099931566,3
LONCCARICA-1_planed,680935.09,5070578.64,-552.98,770.0,16.5006806755,13.0013104635,3
LONCCARICA-1_planed,680935.09,5070578.64,-557.98,775.0,16.4881187794,12.9926318172,3
LONCCARICA-1_planed,680935.09,5070578.64,-562.98,780.0,16.4755595814,12.9839572302,3
LONCCARICA-1_planed,680935.09,5070578.64,-567.98,785.0,16.4630030986,12.975286715,3
LONCCARICA-1_planed,680935.09,5070578.64,-572.98,790.0,16.4504493481,12.9666202841,3
LONCCARICA-1_planed,680935.09,5070578.64,-577.98,795.0,16.4378983469,12.9579579501,3
LONCCARICA-1_planed,680935.09,5070578.64,-582.98,800.0,16.4253501122,12.9492997254,3
LONCCARICA-1_planed,680935.09,5070578.64,-587.98,805.0,16.4128046611,12.9406456225,3
LONCCARICA-1_planed,680935.09,5070578.64,-592.98,810.0,16.4002620105,12.9319956538,3
LONCCARICA-1_planed,680935.09,5070578.64,-597.98,815.0,16.3877221775,12.9233498318,3
LONCCARICA-1_planed,680935.09,5070578.64,-602.98,820.0,16.3751851791,12.9147081689,3
LONCCARICA-1_planed,680935.09,5070578.64,-607.98,825.0,16.3626510325,12.9060706775,3
LONCCARICA-1_planed,680935.09,5070578.64,-612.98,830.0,16.3501197545,12.8974373701,3
LONCCARICA-1_planed,680935.09,5070578.64,-617.98,835.0,16.3375913622,12.8888082589,3
LONCCARICA-1_planed,680935.09,5070578.64,-622.98,840.0,16.3250658726,12.8801833564,3
LONCCARICA-1_planed,680935.09,5070578.64,-627.98,845.0,16.3125433026,12.8715626748,3
LONCCARICA-1_planed,680935.09,5070578.64,-632.98,850.0,16.3000236692,12.8629462266,3
LONCCARICA-1_planed,680935.09,5070578.64,-637.98,855.0,16.2875069894,12.854334024,3
LONCCARICA-1_planed,680935.09,5070578.64,-642.98,860.0,16.2749932802,12.8457260794,3
LONCCARICA-1_planed,680935.09,5070578.64,-647.98,865.0,16.2624825583,12.8371224049,3
LONCCARICA-1_planed,680935.09,5070578.64,-652.98,870.0,16.2499748409,12.8285230129,3
LONCCARICA-1_planed,680935.09,5070578.64,-657.98,875.0,16.2374701447,12.8199279156,3
LONCCARICA-1_planed,680935.09,5070578.64,-662.98,880.0,16.2249684867,12.8113371253,3
LONCCARICA-1_planed,680935.09,5070578.64,-667.98,885.0,16.2124698838,12.8027506541,3
LONCCARICA-1_planed,680935.09,5070578.64,-672.98,890.0,16.1999743528,12.7941685142,3
LONCCARICA-1_planed,680935.09,5070578.64,-677.98,895.0,16.1874819106,12.7855907179,3
LONCCARICA-1_planed,680935.09,5070578.64,-682.98,900.0,16.174992574,12.7770172772,3
LONCCARICA-1_planed,680935.09,5070578.64,-687.98,905.0,16.1625063599,12.7684482044,3
LONCCARICA-1_planed,680935.09,5070578.64,-692.98,910.0,16.1500232851,12.7598835115,3
LONCCARICA-1_planed,680935.09,5070578.64,-697.98,915.0,16.1375433664,12.7513232107,3
LONCCARICA-1_planed,680935.09,5070578.64,-702.98,920.0,16.1250666205,12.742767314,3
LONCCARICA-1_planed,680935.09,5070578.64,-707.98,925.0,16.1125930644,12.7342158336,3
LONCCARICA-1_planed,680935.09,5070578.64,-712.98,930.0,16.1001227147,12.7256687814,3
LONCCARICA-1_planed,680935.09,5070578.64,-717.98,935.0,16.0876555883,12.7171261695,3
LONCCARICA-1_planed,680935.09,5070578.64,-722.98,940.0,16.0751917018,12.7085880099,3
LONCCARICA-1_planed,680935.09,5070578.64,-727.98,945.0,16.0627310719,12.7000543147,3
LONCCARICA-1_planed,680935.09,5070578.64,-732.98,950.0,16.0502737155,12.6915250958,3
LONCCARICA-1_planed,680935.09,5070578.64,-737.98,955.0,16.0378196491,12.6830003651,3
LONCCARICA-1_planed,680935.09,5070578.64,-742.98,960.0,16.0253688895,12.6744801347,3
LONCCARICA-1_planed,680935.09,5070578.64,-747.98,965.0,16.0129214534,12.6659644164,3
LONCCARICA-1_planed,680935.09,5070578.64,-752.98,970.0,16.0004773574,12.6574532221,3
LONCCARICA-1_planed,680935.09,5070578.64,-757.98,975.0,15.9880366182,12.6489465639,3
LONCCARICA-1_planed,680935.09,5070578.64,-762.98,980.0,15.9755992523,12.6404444534,3
LONCCARICA-1_planed,680935.09,5070578.64,-767.98,985.0,15.9631652765,12.6319469026,3
LONCCARICA-1_planed,680935.09,5070578.64,-772.98,990.0,15.9507347072,12.6234539232,3
LONCCARICA-1_planed,680935.09,5070578.64,-777.98,995.0,15.9383075611,12.6149655272,3
LONCCARICA-1_planed,680935.09,5070578.64,-782.98,1000.0,15.9258838549,12.6064817263,3
LONCCARICA-1_planed,680935.09,5070578.64,-787.98,1005.0,15.9134636049,12.5980025323,3
LONCCARICA-1_planed,680935.09,5070578.64,-792.98,1010.0,15.9010468278,12.5895279569,3
LONCCARICA-1_planed,680935.09,5070578.64,-797.98,1015.0,15.8886335401,12.5810580119,3
LONCCARICA-1_planed,680935.09,5070578.64,-802.98,1020.0,15.8762237582,12.572592709,3
LONCCARICA-1_planed,680935.09,5070578.64,-807.98,1025.0,15.8638174988,12.5641320599,3
LONCCARICA-1_planed,680935.09,5070578.64,-812.98,1030.0,15.8514147782,12.5556760762,3
LONCCARICA-1_planed,680935.09,5070578.64,-817.98,1035.0,15.839015613,12.5472247697,3
LONCCARICA-1_planed,680935.09,5070578.64,-822.98,1040.0,15.8266200196,12.5387781519,3
LONCCARICA-1_planed,680935.09,5070578.64,-827.98,1045.0,15.8142280144,12.5303362345,3
LONCCARICA-1_planed,680935.09,5070578.64,-832.98,1050.0,15.8018396138,12.5218990291,3
LONCCARICA-1_planed,680935.09,5070578.64,-837.98,1055.0,15.7894548343,12.5134665473,3
LONCCARICA-1_planed,680935.09,5070578.64,-842.98,1060.0,15.7770736921,12.5050388005,3
LONCCARICA-1_planed,680935.09,5070578.64,-847.98,1065.0,15.7646962038,12.4966158004,3
LONCCARICA-1_planed,680935.09,5070578.64,-852.98,1070.0,15.7523223856,12.4881975585,3
LONCCARICA-1_planed,680935.09,5070578.64,-857.98,1075.0,15.7399522538,12.4797840862,3
LONCCARICA-1_planed,680935.09,5070578.64,-862.98,1080.0,15.7275858249,12.4713753951,3
LONCCARICA-1_planed,680935.09,5070578.64,-867.98,1085.0,15.715223115,12.4629714965,3
LONCCARICA-1_planed,680935.09,5070578.64,-872.98,1090.0,15.7028641405,12.454572402,3
LONCCARICA-1_planed,680935.09,5070578.64,-877.98,1095.0,15.6905089177,12.4461781229,3
LONCCARICA-1_planed,680935.09,5070578.64,-882.98,1100.0,15.6781574627,12.4377886707,3
LONCCARICA-1_planed,680935.09,5070578.64,-887.98,1105.0,15.6658097919,12.4294040566,3
LONCCARICA-1_planed,680935.09,5070578.64,-892.98,1110.0,15.6534659214,12.4210242921,3
LONCCARICA-1_planed,680935.09,5070578.64,-897.98,1115.0,15.6411258674,12.4126493885,3
LONCCARICA-1_planed,680935.09,5070578.64,-902.98,1120.0,15.6287896461,12.404279357,3
LONCCARICA-1_planed,680935.09,5070578.64,-907.98,1125.0,15.6164572737,12.3959142091,3
LONCCARICA-1_planed,680935.09,5070578.64,-912.98,1130.0,15.6041287664,12.3875539558,3
LONCCARICA-1_planed,680935.09,5070578.64,-917.98,1135.0,15.5918041401,12.3791986085,3
LONCCARICA-1_planed,680935.09,5070578.64,-922.98,1140.0,15.5794834111,12.3708481785,3
LONCCARICA-1_planed,680935.09,5070578.64,-927.98,1145.0,15.5671665955,12.3625026768,3
LONCCARICA-1_planed,680935.09,5070578.64,-932.98,1150.0,15.5548537092,12.3541621146,3
LONCCARICA-1_planed,680935.09,5070578.64,-937.98,1155.0,15.5425447685,12.3458265032,3
LONCCARICA-1_planed,680935.09,5070578.64,-942.98,1160.0,15.5302397892,12.3374958537,3
LONCCARICA-1_planed,680935.09,5070578.64,-947.98,1165.0,15.5179387874,12.3291701771,3
LONCCARICA-1_planed,680935.09,5070578.64,-952.98,1170.0,15.5056417792,12.3208494846,3
LONCCARICA-1_planed,680935.09,5070578.64,-957.98,1175.0,15.4933487804,12.3125337872,3
LONCCARICA-1_planed,680935.09,5070578.64,-962.98,1180.0,15.4810598071,12.3042230959,3
LONCCARICA-1_planed,680935.09,5070578.64,-967.98,1185.0,15.4687748751,12.2959174218,3
LONCCARICA-1_planed,680935.09,5070578.64,-972.98,1190.0,15.4564940005,12.2876167759,3
LONCCARICA-1_planed,680935.09,5070578.64,-977.98,1195.0,15.444217199,12.2793211692,3
LONCCARICA-1_planed,680935.09,5070578.64,-982.98,1200.0,15.4319444867,12.2710306126,3
LONCCARICA-1_planed,680935.09,5070578.64,-987.98,1205.0,15.4196758793,12.262745117,3
LONCCARICA-1_planed,680935.09,5070578.64,-992.98,1210.0,15.4074113927,12.2544646933,3
LONCCARICA-1_planed,680935.09,5070578.64,-997.98,1215.0,15.3951510427,12.2461893525,3
LONCCARICA-1_planed,680935.09,5070578.64,-1002.98,1220.0,15.3828948451,12.2379191053,3
LONCCARICA-1_planed,680935.09,5070578.64,-1007.98,1225.0,15.3706428158,12.2296539627,3
LONCCARICA-1_planed,680935.09,5070578.64,-1012.98,1230.0,15.3583949704,12.2213939354,3
LONCCARICA-1_planed,680935.09,5070578.64,-1017.98,1235.0,15.3461513246,12.2131390342,3
LONCCARICA-1_planed,680935.09,5070578.64,-1022.98,1240.0,15.3339118944,12.2048892699,3
LONCCARICA-1_planed,680935.09,5070578.64,-1027.99,1245.01,15.3216766952,12.1966446533,3
LONCCARICA-1_planed,680935.09,5070578.64,-1032.99,1250.01,15.3094457429,12.188405195,3
LONCCARICA-1_planed,680935.09,5070578.64,-1037.99,1255.01,15.297219053,12.1801709057,3
LONCCARICA-1_planed,680935.09,5070578.64,-1042.99,1260.01,15.2849966412,12.1719417962,3
LONCCARICA-1_planed,680935.09,5070578.64,-1047.99,1265.01,15.2727785232,12.1637178771,3
LONCCARICA-1_planed,680935.09,5070578.64,-1052.99,1270.01,15.2605647145,12.1554991589,3
LONCCARICA-1_planed,680935.09,5070578.64,-1057.99,1275.01,15.2483552307,12.1472856524,3
LONCCARICA-1_planed,680935.09,5070578.64,-1062.99,1280.01,15.2361500873,12.139077368,3
LONCCARICA-1_planed,680935.09,5070578.64,-1067.99,1285.01,15.2239492999,12.1308743163,3
LONCCARICA-1_planed,680935.09,5070578.64,-1072.99,1290.01,15.2117528841,12.1226765079,3
LONCCARICA-1_planed,680935.09,5070578.64,-1077.99,1295.01,15.1995608552,12.1144839532,3
LONCCARICA-1_planed,680935.09,5070578.64,-1082.99,1300.01,15.1873732288,12.1062966628,3
LONCCARICA-1_planed,680935.09,5070578.64,-1087.99,1305.01,15.1751900203,12.098114647,3
LONCCARICA-1_planed,680935.09,5070578.64,-1092.99,1310.01,15.1630112451,12.0899379164,3
LONCCARICA-1_planed,680935.09,5070578.64,-1097.99,1315.01,15.1508369187,12.0817664812,3
LONCCARICA-1_planed,680935.09,5070578.64,-1102.99,1320.01,15.1386670564,12.073600352,3
LONCCARICA-1_planed,680935.09,5070578.64,-1107.99,1325.01,15.1265016736,12.065439539,3
LONCCARICA-1_planed,680935.09,5070578.64,-1112.99,1330.01,15.1143407856,12.0572840526,3
LONCCARICA-1_planed,680935.09,5070578.64,-1117.99,1335.01,15.1021844078,12.0491339031,3
LONCCARICA-1_planed,680935.09,5070578.64,-1122.99,1340.01,15.0900325553,12.0409891008,3
LONCCARICA-1_planed,680935.09,5070578.64,-1127.99,1345.01,15.0778852436,12.0328496558,3
LONCCARICA-1_planed,680935.09,5070578.64,-1132.99,1350.01,15.0657424878,12.0247155785,3
LONCCARICA-1_planed,680935.09,5070578.64,-1137.99,1355.01,15.0536043032,12.0165868791,3
LONCCARICA-1_planed,680935.09,5070578.64,-1142.99,1360.01,15.0414707049,12.0084635677,3
LONCCARICA-1_planed,680935.09,5070578.64,-1147.99,1365.01,15.0293417082,12.0003456545,3
LONCCARICA-1_planed,680935.09,5070578.64,-1152.99,1370.01,15.0172173282,11.9922331496,3
LONCCARICA-1_planed,680935.09,5070578.64,-1157.99,1375.01,15.0050975801,11.9841260631,3
LONCCARICA-1_planed,680935.09,5070578.64,-1162.99,1380.01,14.9929824788,11.9760244051,3
LONCCARICA-1_planed,680935.09,5070578.64,-1167.99,1385.01,14.9808720397,11.9679281857,3
LONCCARICA-1_planed,680935.09,5070578.64,-1172.99,1390.01,14.9687662776,11.9598374148,3
LONCCARICA-1_planed,680935.09,5070578.64,-1177.99,1395.01,14.9566652076,11.9517521025,3
LONCCARICA-1_planed,680935.09,5070578.64,-1182.99,1400.01,14.9445688448,11.9436722587,3
LONCCARICA-1_planed,680935.09,5070578.64,-1187.99,1405.01,14.9324772041,11.9355978933,3
LONCCARICA-1_planed,680935.09,5070578.64,-1192.99,1410.01,14.9203903005,11.9275290164,3
LONCCARICA-1_planed,680935.09,5070578.64,-1197.99,1415.01,14.908308149,11.9194656378,3
